Amostra1_x,Amostra1_y,Amostra2_x,Amostra2_y,Amostra3_x,Amostra3_y,Amostra4_x,Amostra4_y
0.317,0.293857888,0.317,0.293857888,0.248,0.273942094,0.248,0.273942094
0.282,0.292781239,0.282,0.292781239,0.306,0.278553299,0.306,0.278553299
0.271,0.290734295,0.271,0.290734295,0.342,0.287428932,0.342,0.287428932
0.292,0.283049918,0.292,0.283049918,0.338,0.300515706,0.338,0.300515706
0.263,0.279214987,0.263,0.279214987,0.332,0.30694909,0.332,0.30694909
0.248,0.273942094,0.248,0.273942094,0.331,0.311891413,0.331,0.311891413
0.306,0.278553299,0.306,0.278553299,0.297,0.309394983,0.297,0.309394983
0.342,0.287428932,0.315,0.310160428,0.315,0.310160428,0.315,0.310160428
0.338,0.300515706,0.307,0.309807692,0.307,0.309807692,0.307,0.309807692
0.332,0.30694909,0.286,0.28232503,0.286,0.28232503,0.286,0.28232503
0.331,0.311891413,0.281,0.291763611,0.281,0.291763611,0.281,0.291763611
0.297,0.309394983,0.292,0.291775214,0.292,0.291775214,0.292,0.291775214
